date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:37	14525/14525	---M-Z	200	added ('OK')	text/html	etag:%225eec406b-eb1%22	https://www.bestwordlist.com/index.htm	D:/Documents/dictionary/mats-master/global-master/miscellaneous/dictionary/www.bestwordlist.com/index.html	(from )
20:59:37	93/93	---M-Z	200	added ('OK')	text/plain	etag:%225eec21d2-5d%22	https://www.bestwordlist.com/robots.txt		(from )
20:59:37	6570/6570	---M--	200	added ('OK')	image/png	etag:%225eec21d2-19aa%22	https://www.bestwordlist.com/lf.png	D:/Documents/dictionary/mats-master/global-master/miscellaneous/dictionary/www.bestwordlist.com/lf.png	(from https://www.bestwordlist.com/index.htm)
20:59:37	5918/5918	---M--	200	added ('OK')	image/x-icon	etag:%225eec21d2-171e%22	https://www.bestwordlist.com/favicon.ico	D:/Documents/dictionary/mats-master/global-master/miscellaneous/dictionary/www.bestwordlist.com/favicon.ico	(from https://www.bestwordlist.com/index.htm)
20:59:41	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2021:02:38%20GMT	http://www.google-analytics.com/analytics.js	D:/Documents/dictionary/mats-master/global-master/miscellaneous/dictionary/www.google-analytics.com/analytics.js	(from https://www.bestwordlist.com/index.htm)
20:59:41	83313/83313	---M--	200	added ('OK')	text/javascript	etag:%221260%20/%20588%20of%201000%20/%20last-modified:%201656587277%22	https://securepubads.g.doubleclick.net/tag/js/gpt.js	D:/Documents/dictionary/mats-master/global-master/miscellaneous/dictionary/securepubads.g.doubleclick.net/tag/js/gpt.js	(from https://www.bestwordlist.com/index.htm)
20:59:41	4307/4307	---M-Z	200	added ('OK')	application/javascript	etag:%2261d09901-5c9%22	https://www.bestwordlist.com/adamv1.js	D:/Documents/dictionary/mats-master/global-master/miscellaneous/dictionary/www.bestwordlist.com/adamv1.js	(from https://www.bestwordlist.com/index.htm)
20:59:41	15612/15612	---M-Z	200	added ('OK')	text/html	etag:%225eec21e0-13b2%22	https://www.bestwordlist.com/allwords.htm	D:/Documents/dictionary/mats-master/global-master/miscellaneous/dictionary/www.bestwordlist.com/allwords.html	(from https://www.bestwordlist.com/index.htm)
20:59:41	7813/7813	---M-Z	200	added ('OK')	text/html	etag:%225eec406b-b1d%22	https://www.bestwordlist.com/indexbeginning.htm	D:/Documents/dictionary/mats-master/global-master/miscellaneous/dictionary/www.bestwordlist.com/indexbeginning.html	(from https://www.bestwordlist.com/index.htm)
20:59:42	7723/7723	---M-Z	200	added ('OK')	text/html	etag:%225eec406b-b1b%22	https://www.bestwordlist.com/indexending.htm	D:/Documents/dictionary/mats-master/global-master/miscellaneous/dictionary/www.bestwordlist.com/indexending.html	(from https://www.bestwordlist.com/index.htm)
20:59:42	7689/7689	---M-Z	200	added ('OK')	text/html	etag:%225eec406b-b16%22	https://www.bestwordlist.com/indexintheword.htm	D:/Documents/dictionary/mats-master/global-master/miscellaneous/dictionary/www.bestwordlist.com/indexintheword.html	(from https://www.bestwordlist.com/index.htm)
20:59:42	7700/7700	---M-Z	200	added ('OK')	text/html	etag:%225eec406b-b15%22	https://www.bestwordlist.com/indexwordswith.htm	D:/Documents/dictionary/mats-master/global-master/miscellaneous/dictionary/www.bestwordlist.com/indexwordswith.html	(from https://www.bestwordlist.com/index.htm)
20:59:42	7820/7820	---M-Z	200	added ('OK')	text/html	etag:%225eec406b-afc%22	https://www.bestwordlist.com/indexposition.htm	D:/Documents/dictionary/mats-master/global-master/miscellaneous/dictionary/www.bestwordlist.com/indexposition.html	(from https://www.bestwordlist.com/index.htm)
