Language	ISO 639-3 Code	Type
ǂ’Amkoe	huc	Living
Aari	aiw	Living
Aasáx	aas	Living
Abadi	kbt	Living
Abaga	abg	Living
Abai Sungai	abf	Living
Abanyom	abm	Living
Abar	mij	Living
Abau	aau	Living
Abaza	abq	Living
Abé	aba	Living
Abellen Ayta	abp	Living
Abidji	abi	Living
Abinomn	bsa	Living
Abkhazian	abk	Living
Abom	aob	Living
Abon	abo	Living
Abron	abr	Living
Abu	ado	Living
Abu' Arapesh	aah	Living
Abua	abn	Living
Abui	abz	Living
Abun	kgr	Living
Abure	abu	Living
Abureni	mgj	Living
Acatepec Me'phaa	tpx	Living
Achagua	aca	Living
Achang	acn	Living
Ache	yif	Living
Aché	guq	Living
Acheron	acz	Living
Achi	acr	Living
Achinese	ace	Living
Achterhoeks	act	Living
Achuar-Shiwiar	acu	Living
Achumawi	acv	Living
Acoli	ach	Living
Adabe	adb	Living
Adamawa Fulfulde	fub	Living
Adamorobe Sign Language	ads	Living
Adang	adn	Living
Adangbe	adq	Living
Adangme	ada	Living
Adara	kad	Living
Adasen	tiu	Living
Adele	ade	Living
Adhola	adh	Living
Adi	adi	Living
Adioukrou	adj	Living
Adivasi Oriya	ort	Living
Adiwasi Garasia	gas	Living
Adnyamathanha	adt	Living
Adonara	adr	Living
Aduge	adu	Living
Adyghe	ady	Living
Adzera	adz	Living
Aeka	aez	Living
Aekyom	awi	Living
Aer	aeq	Living
Afade	aal	Living
Afar	aar	Living
Afghan Sign Language	afg	Living
Afitti	aft	Living
Afrikaans	afr	Living
Afro-Seminole Creole	afs	Living
Agarabi	agd	Living
Agariya	agi	Living
Agatu	agc	Living
Aghem	agq	Living
Aghu	ahh	Living
Aghul	agx	Living
Agi	aif	Living
Agob	kit	Living
Agoi	ibm	Living
Aguacateco	agu	Living
Aguaruna	agr	Living
Aguna	aug	Living
Agusan Manobo	msm	Living
Agutaynen	agn	Living
Agwagwune	yay	Living
Àhàn	ahn	Living
Ahanta	aha	Living
Aheu	thm	Living
Ahirani	ahr	Living
Ahtena	aht	Living
Ahwai	nfd	Living
Ai-Cham	aih	Living
Aighon	aix	Living
Aikanã	tba	Living
Aiklep	mwg	Living
Aimaq	aiq	Living
Aimele	ail	Living
Aimol	aim	Living
Ainbai	aic	Living
Ainu (China)	aib	Living
Ainu (Japan)	ain	Living
Aiome	aki	Living
Airoran	air	Living
Aiton	aio	Living
Aja (Benin)	ajg	Living
Aja (Sudan)	aja	Living
Ajië	aji	Living
Ajumbu	muc	Living
Ajyíninka Apurucayali	cpc	Living
Ak	akq	Living
Aka	soh	Living
Akan	aka	Living
Akaselem	aks	Living
Akawaio	ake	Living
Ake	aik	Living
Akebu	keu	Living
Akei	tsr	Living
Akeu	aeu	Living
Akha	ahk	Living
Akhvakh	akv	Living
Aklanon	akl	Living
Akolet	akt	Living
Akoose	bss	Living
Akoye	miw	Living
Akpa	akf	Living
Akpes	ibe	Living
Akrukay	afi	Living
Akukem	spm	Living
Akuku	ayk	Living
Akum	aku	Living
Akuntsu	aqz	Living
Akurio	ako	Living
Akwa	akw	Living
Akyaung Ari Naga	nqy	Living
Alaba-K’abeena	alw	Living
Alabama	akz	Living
Alabat Island Agta	dul	Living
Alacatlatzala Mixtec	mim	Living
Alago	ala	Living
Alagwa	wbj	Living
Alak	alk	Living
Alamblak	amp	Living
Alangan	alj	Living
Alawa	alh	Living
Albanian	sqi	Living
Albanian Sign Language	sqk	Living
Alcozauca Mixtec	xta	Living
Alege	alf	Living
Alekano	gah	Living
Aleut	ale	Living
Algerian Arabic	arq	Living
Algerian Saharan Arabic	aao	Living
Algerian Sign Language	asp	Living
Algonquin	alq	Living
Ali	aiy	Living
Alladian	ald	Living
